serial,make,id_no
1C353176W,TOSHIBA,10-1432
23BW9WI,DELL,14-2349
2ce01221rm,HP,16-0128
2CE1070699,HP,13-1808
2CE21612L0,HP,14-0267
2CE3461SKY,HP,13-1572
2CE38030KM,HP,13-0774
360PS32,DELL,15-0238
4B251265K,TOSHIBA,15-0009
4lOKQR1,DELL,12-0129
4XKYLR1,DELL,11-0979
5CB1283TF3,HP,14-2819
5CB2462RRJ,HP,11-0377
5CB24813L5,HP,12-1533
5CB4128DJB,HP,14-2801
5CD22466B3,HP,12-0649
5cd54208b6,Hp,14-2656
5CG3262TMQ,HP,14-0430
63nocx7406132,Asus,14-2491
6B360090Q,TOSHIBA,11-0823
6CF44515V4,HP,15-1525
6cg30318wd,Hp,14-2659
8NOV2X1,DELL,12-1116
906T612,DELL,14-2662
C17GH1FKDJWT,APPLE,13-2060
C17NW4E3G3QH,APPLE,15-1353
C8B59PA#ABG,HP,14-0155
CND1088259,HP,14-2873
CND4518QVP,HP,13-0055
CND4524JFV,HP,15-0459
CND80519VC,COMPAQ,14-1679
cnf1240lx7,HP,13-0859
CNU05018KC,HP,15-1789
CNU1062J5G,HP,14-1632
CNU2230T1R,HP,13-0551
CO2LN9QCF5V8,APPLE,15-0585
IVFMR4J,DELL,14-2709
J63NBN1,DELL,13-0537
J8TVMR1,DELL,12-0703
JBZ191JD200397F,SAMSUNG,13-1826
LXRR90C1112110F9BA7600,ACER,13-0659
NXEEZED005446009F634,ACER,12-0320
NXM2HAA00723903FAB1601,ACER,13-0311
NXRJWEMO1121114CBA3400,ACER,13-1710
pb2mcn7,Lenovo,14-1863
PF01YPRV,LENOVO,15-0810
YB0158I096,LENOVO,14-2145
YB01614285,LENOVO,14-2819
YB09164312,LENOVO,15-1288
YD133489Q,TOSHIBA,13-1627
YX3100577AYD,HP,13-1688
